protein_id,seq_hash,aro_name
PROT_000067,5bd688a102f5,OpmD
PROT_000068,f951ad42c776,Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones
PROT_000069,5ead0ef1141e,MexZ
PROT_000070,4ce6bf95a7fa,MexS
PROT_000071,53798a33c4e6,MexR
PROT_000072,684fc83e131d,APH(3')-IIb
PROT_000073,e10e3a8872c0,MexK
PROT_000074,76ee84500a3d,MexJ
PROT_000075,d477d3b59e0e,PDC-16
PROT_000076,9d94e8829cda,ArnT
PROT_000077,ef4dba9d18bc,arnA
PROT_000078,0cd0e5d21b5d,MexV
PROT_000079,bce7c3157cce,MexW
PROT_000080,16c2ab37b89f,OpmD
PROT_000081,b8236e9c5039,MexH
PROT_000082,3d78a4f4ac4f,OprJ
PROT_000083,99a5e48f472f,MexC
PROT_000084,0f510c83602b,MexE
PROT_000085,987d487f220a,mexY
PROT_000086,2254924f3fe9,OXA-848
PROT_000087,687ce0a6529a,OpmH
PROT_000088,5dd0092767d3,nalC
PROT_000089,1cdaf76f6a18,OprJ
PROT_000090,bdd946468cdf,MexD
PROT_000091,c07b5a418945,MexE
PROT_000092,5a58f2036eae,PDC-3
PROT_000093,c57c91c479ee,MexJ
PROT_000094,b11ca8332f0d,MexV
PROT_000095,94ba42d7a405,MexW
PROT_000096,1ac97dacd663,OpmB
PROT_000097,b1c3af0b4d81,OpmH
PROT_000098,de7a64c24ece,OpmD
PROT_000099,2f03826e39ef,MexI
PROT_000100,ea014272c3e1,ArnT
PROT_000101,53cd80bc066f,OXA-486
PROT_000102,3a4aaa46681e,MexS
PROT_000103,98a694168cf9,MexT
PROT_000104,2772c3b70e44,nalC
PROT_000105,dac5fe16e441,nalD
PROT_000106,b7ab6098a0a9,mexY
PROT_000107,12af043c4754,ArnT
PROT_000108,1a231038dd9c,OpmB
PROT_000109,b1c7dc343f92,APH(3')-IIb
PROT_000110,7df0fd1ed87c,OXA-1281
PROT_000111,4ce8c990e8f6,basS
PROT_000112,54a6d2508b5d,MexK
PROT_000113,17466b74b666,ArnT
PROT_000114,42feb2f460f0,arnA
PROT_000115,7684e0a8e272,MexV
PROT_000116,82d8c977f8e5,mexY
PROT_000117,28fe6c266f40,OprJ
PROT_000118,39215850068a,MexD
PROT_000119,102da883b1b3,MexC
PROT_000120,5bf682d96958,MexR
PROT_000121,16e963e52d53,nalC
PROT_000122,8db140ad4268,OprJ
PROT_000123,ad0a558a0560,MexD
PROT_000124,975f1c291c59,MexW
PROT_000125,da27f879d4e9,MexV
PROT_000126,27e40a9411fc,OpmB
PROT_000127,c61e33f5f6be,OprN
PROT_000128,d75ecea4e7d6,arnA
PROT_000129,9b6c5f0e3257,ArnT
PROT_000130,6192839793a3,OXA-488
PROT_000131,2257d62b2467,OprM
PROT_000132,55f4a0039354,MexH
PROT_000133,a25891c05c0a,APH(3')-IIb
PROT_000134,3ea1e8e0a82d,PDC-37
PROT_000135,df4ecbf23675,MexS
PROT_000136,d14b9b0b67d5,ArnT
PROT_000137,3b7ea2ab7d0d,MexD
PROT_000138,ff0d915feb1a,Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones
PROT_000139,c8749867002c,MexZ
PROT_000140,921a50f21a0a,OprM
PROT_000141,acea973f7aa4,arnA
PROT_000142,82b82f5ac023,ArnT
PROT_000143,0faa83cef58f,OXA-494
PROT_000144,6991772febe3,OprJ
PROT_000145,7612cc62be27,MexF
PROT_000146,5bab396b1fc4,MexW
PROT_000147,9d2aee9fbd1a,MexK
PROT_000148,9b16bdfe9df2,MexJ
PROT_000149,5dc84ab9db08,PDC-1
PROT_000150,d79d63d1208e,MexR
PROT_000151,bff40f63a26e,mexY
PROT_000152,30f16f199f2a,MexH
PROT_000153,f33b584ed53c,MexJ
PROT_000154,cdc41649b5a1,MexC
PROT_000155,2f4b0a555474,APH(3')-IIb
PROT_000156,40272b105a56,MexW
PROT_000157,eff10d2d781f,ArnT
PROT_000158,324b4e6c13af,arnA
PROT_000159,79fa9644a796,nalD
PROT_000160,9a961f3b1c91,MexW
PROT_000161,04a389e476bc,OXA-906
PROT_000162,8fec293dcebe,arnA
PROT_000163,3d2e5299aea5,OprN
PROT_000164,9b6ab622a09a,MexC
PROT_000165,f20265dced13,mexY
PROT_000166,ff87e80dedf4,MexZ
PROT_000167,50ef7f5f8cbc,MexR
PROT_000168,65cab9aaa358,MexD
PROT_000169,8aac5b9e59ba,MexC
PROT_000170,1525a7287ac5,APH(3')-IIb
PROT_000171,253860942a39,PDC-19a
PROT_000172,c8610119d928,basS
PROT_000173,425536d7fe65,MexB
PROT_000174,4eff4c4aec37,OprN
PROT_000175,75f9b374dc3c,MexH
PROT_000176,9550c9c8e024,MexG
PROT_000177,18b4084b81a5,arnA
PROT_000178,44879639ca56,ArnT
PROT_000179,b4bc9dd9c89f,MexK
PROT_000180,0ae0c4814662,vanT gene in vanG cluster
PROT_000181,406b2b6170f5,MexZ
PROT_000182,8717dec2b7a0,nalC
PROT_000183,da469235e15d,OpmD
PROT_000184,110f6264afc2,OprN
PROT_000185,d2d23c5ee0de,MexI
PROT_000186,4e5e2a071d17,MexK
PROT_000187,94b6a3bff464,MexB
PROT_000188,0ce73d39982b,PDC-609
PROT_000189,798900e01d39,MexV
PROT_000190,74a15e71e1aa,mexY
PROT_000191,b9e36d951a0a,MexZ
PROT_000192,fd8eb8fce310,OprJ
PROT_000193,32711c28ba10,OpmH
PROT_000194,61020481a5ef,ArnT
PROT_000195,bc8aa77b42c4,arnA
PROT_000196,8e49c9b97ce6,mexY
PROT_000197,413144a6101e,OpmH
PROT_000198,db6e1de8541a,mexY
PROT_000199,48b846cfeafa,OXA-904
PROT_000200,b89048e8a2cd,PDC-301
PROT_000201,0ce1f14d140c,MexV
PROT_000202,256100512064,MexB
PROT_000203,76753b768251,OprM
PROT_000204,40fc8e1e22dc,MexH
PROT_000205,9120d0fc005b,MexI
PROT_000206,b15fd8921d9b,OpmD
PROT_000207,d8381c97e7c1,MexK
PROT_000208,c39b85460fa4,arnA
PROT_000209,e0974e89e0de,basS
PROT_000210,14758ee2676c,ArnT
PROT_000211,6273db97da52,mexY
PROT_000212,4a8f4ed84bf7,MexD
PROT_000213,de5ff7dddccd,MexS
PROT_000214,ed9cae1a10e9,nalC
PROT_000215,631acb6c1fe7,OXA-1014
PROT_000216,f8da4b5c7655,MexA
PROT_000217,4a3ea3927ef3,ArnT
PROT_000218,dffd3ef469ba,OpmD
PROT_000219,5a440f06960f,ArnT
PROT_000220,bb085f566a53,PDC-24
PROT_000221,a7a6dc862315,MexW
PROT_000222,ca841f91bf66,MexD
PROT_000223,63879940e500,nalC
PROT_000224,277d90dbcdcc,MexW
PROT_000225,f4fdc5ea8bdd,OprJ
PROT_000226,5b47fa06d1d2,PDC-46
PROT_000227,517c232591b6,MexI
PROT_000228,2ca6a763f45f,OXA-901
PROT_000229,90a6ce1b7365,ArnT
PROT_000230,9481c753650d,vanT gene in vanG cluster
PROT_000231,f97abbce1f2f,Type B NfxB
PROT_000232,0b842e2952c3,OpmB
PROT_000233,a184068ee3a6,MexE
PROT_000234,0df2d3b642b7,arnA
PROT_000235,392f6026a079,ArnT
PROT_000236,5ad4751f5601,OprM
PROT_000237,ca1fd6ead03a,mexY
PROT_000238,b87787fab4cd,basS
PROT_000239,433c18078780,OpmD
PROT_000240,3823c2e9017c,nalD
PROT_000241,961a30186339,MexZ
PROT_000242,cdfaef303e94,FosA
PROT_000243,cb86c42c9487,MexD
PROT_000244,35743353bfd3,OprJ
PROT_000245,451dd1c53a7a,MexW
PROT_000246,cf53a8703895,OXA-396
PROT_000247,dfb168cc4c23,PDC-8
PROT_000248,d53cbb38f716,OpmD
PROT_000249,2140f15fd2a7,MexB
PROT_000250,3c890a71aee9,OpmD
PROT_000251,84cd85427441,MexK
PROT_000252,e520881c7e0e,MexV
PROT_000253,d84138c6af5b,MexD
PROT_000254,d2a57162487d,MexC
PROT_000255,691103192003,OpmH
PROT_000256,3db47c4e2991,vanT gene in vanG cluster
PROT_000257,9debc7c31ef1,APH(3')-IIb
PROT_000258,fa9fe9d90b7b,ArnT
PROT_000259,18aad4ae1ca6,nalC
PROT_000260,57eb8b760630,Type B NfxB
PROT_000261,b04809501403,MexR
PROT_000262,62fe81e7247c,MexB
PROT_000263,707b2b3416c0,mexY
PROT_000264,cd827c096080,cprR
PROT_000265,f84b6a80fd73,FosA
PROT_000266,f71c3d4b214c,ArnT
PROT_000267,3c4e66951373,MexJ
PROT_000268,2480ab8a477c,PDC-12
PROT_000269,4a6b466aceee,APH(3')-IIb
PROT_000270,abfbe0eb95c7,MexH
PROT_000271,a30d44b487d7,OpmD
PROT_000272,9da5531cd5f6,OprJ
PROT_000273,d1b39f8493c3,MexD
PROT_000274,7888ec360f19,MexC
PROT_000275,2cb25df32d66,MexB
PROT_000276,b54dbfe1f823,OprN
PROT_000277,659cd7affdcb,ArnT
PROT_000278,95cb918da39d,MexK
PROT_000279,63b007d76374,PDC-34
PROT_000280,bf9cc41f8b95,APH(3')-IIb
PROT_000281,b5b41ff8bb76,MexH
PROT_000282,8bcbb9c8e2a6,OpmD
PROT_000283,e6231d66b0ee,MexD
PROT_000284,e46660be772a,MexC
PROT_000285,5e66a843b1b5,MexZ
PROT_000286,fd42a0e3ae9d,nalD
PROT_000287,f377a8451805,AAC(3)-Id
PROT_000288,86eb33037c15,FosA
PROT_000289,411e0749c9ae,VIM-2
PROT_000290,ecda8ba545e8,AAC(6')-Il
PROT_000291,9320b081c924,basS
PROT_000292,836315cb6593,Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones
PROT_000293,901c8eb853f3,nalC
PROT_000294,b5f09144bc29,ArnT
PROT_000295,a01186af2fe5,MexW
PROT_000296,04c26671d833,MexD
PROT_000297,6f0fcb544972,OXA-1026
PROT_000298,f350ee0a7e03,MexH
PROT_000299,70d079b9212a,MexI
PROT_000300,74e8ec5c7b1c,OprN
PROT_000301,4e28b6d55ce5,OpmB
PROT_000302,25a9184ba6c7,mexY
PROT_000303,d9900b3d3ebe,MexS
PROT_000304,893c5234953a,APH(3'')-Ib
PROT_000305,323b6abaa06d,APH(6)-Id
PROT_000306,bf6fa216d6f9,AAC(6')-Ib9
PROT_000307,d889eaa8ec8b,Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones
PROT_000308,77782c4107fb,nalD
PROT_000309,3a2f2589465e,cprR
PROT_000310,fe791f907651,arnA
PROT_000311,eab6510fe068,ArnT
PROT_000312,daa3e9ccbc60,OpmB
PROT_000313,df7a62acf663,OprN
PROT_000314,e7d41c96c2b6,OpmD
PROT_000315,f1942e3b0b76,mexY
PROT_000316,5e43bf9d5e98,arnA
PROT_000317,1cb4bd00e35e,ArnT
PROT_000318,a57f3513c8f3,Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones
PROT_000319,633c721ce39b,nalC
PROT_000320,4b644ca37fa0,OXA-1033
PROT_000321,739f84a41da4,MexD
PROT_000322,53cb835629af,OpmB
PROT_000323,35b24810da3a,MexH
PROT_000324,a892697f6fe7,OpmD
PROT_000325,dd71d61dfde8,nalC
PROT_000326,58e71141e27d,MexZ
PROT_000327,b29265f8b7dc,PDC-60
PROT_000328,663beda843c8,vanT gene in vanG cluster
PROT_000329,b16752083283,OpmH
PROT_000330,e7a819b82d54,MexA
PROT_000331,360539d0eb14,MexW
PROT_000332,4eb3b4a0931f,MexC
PROT_000333,91499f8f83f8,mexY
PROT_000334,d9c04a937477,MexK
PROT_000335,3863465d88fd,arnA
PROT_000336,87ef3dcb7395,OpmB
PROT_000337,c8c01fb4f7ba,MexC
PROT_000338,4db5348a5eac,OXA-904
PROT_000339,7d83bc72075e,Type B NfxB
PROT_000340,06e5d840a7b4,OprM
PROT_000341,dc6d53717671,FosA
PROT_000342,4b75e2abae77,MexK
PROT_000343,6daa49ed46c8,OpmD
PROT_000344,eb9762616839,APH(3')-IIb
PROT_000345,bd51ef10b0bf,MexW
PROT_000346,9f757b50c5bf,OXA-1025
PROT_000347,46fd7830ee8f,MexT
PROT_000348,afeb411ae4c5,MexZ
PROT_000349,892be0a2cdf6,ArnT
PROT_000350,c248be9ff839,mexY
PROT_000351,4ffddc5f146f,IMP-18
PROT_000352,e8852f0a4b8d,OXA-2
PROT_000353,eb329103b647,Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones
PROT_000354,1f38553041ab,MexI
PROT_000355,fcf2a6a09ce1,MexK
PROT_000356,7fdcfe134300,ArnT
PROT_000357,0c18f1f3386a,arnA
PROT_000358,285ed34de1e3,NDM-1
PROT_000359,906cf38e8b3e,basS
PROT_000360,18f995fff067,MexZ
PROT_000361,5498fa0434d4,ArnT
PROT_000362,0c552d90aef5,vanT gene in vanG cluster
PROT_000363,52e4352bdd9c,PDC-35
PROT_000364,a14c10573f43,APH(3')-IIb
PROT_000365,b73f58120092,MexV
PROT_000366,3323fa0fdf2f,MexW
PROT_000367,88a3bfbbf641,AAC(6')-31
PROT_000368,9797b224732c,FosA
PROT_000369,a1b758db0269,MexE
PROT_000370,06813673464b,basS
PROT_000371,bc7afef0e679,MexD
PROT_000372,7d4a02f7ebde,MexR
PROT_000373,9e5a3da2a4bf,nalC
PROT_000374,79b049d8a29f,MexZ
PROT_000375,ebd8d336eb05,OXA-906
PROT_000376,460108f647f8,MexI
PROT_000377,48c67faf8c34,ArnT
PROT_000378,fee462c08057,arnA
PROT_000379,7de2d1a2433b,PDC-59
PROT_000380,95fe78f83f10,MexR
PROT_000381,93190dcafd93,nalC
PROT_000382,a679c653be00,MexI
PROT_000383,3509b89b16aa,ArnT
PROT_000384,137eb3614e06,OXA-1127
PROT_000385,e949f5c042ec,MexE
PROT_000386,81d8d3aabef9,OprJ
PROT_000387,f4721ec0405a,MexD
PROT_000388,5172e76936d6,Type B NfxB
PROT_000389,31872773ba7f,MexW
PROT_000390,bde84b38aa1c,OpmB
PROT_000391,a8f9756cbc94,ANT(2'')-Ia
PROT_000392,25dd235af44f,MexZ
PROT_000393,9dbc40169e8d,basS
PROT_000394,620b6b3ba261,arnA
PROT_000395,323405accb57,ArnT
PROT_000396,9ae8426742a6,MexH
PROT_000397,e682740608b7,PDC-39
PROT_000398,5c8bdbe69170,OprN
PROT_000399,bfca46e3dfdb,MexJ
PROT_000400,1fd5adadffeb,APH(3')-IIb
PROT_000401,75b18ec53cb9,PDC-30
PROT_000402,05c229455701,OprJ
PROT_000403,d96530b1a7c4,MexR
PROT_000404,b77569b9c4c9,OpmD
PROT_000405,07d5ecc8c019,MexH
PROT_000406,88c3535b92a4,APH(3')-IIb
PROT_000407,04aec11fdccf,arnA
PROT_000408,09149b94b9a8,MexV
PROT_000409,1e4b7569bab1,OXA-905
PROT_000410,29f33d8be6bc,nalC
PROT_000411,c007014a83a8,PDC-15
PROT_000412,d3e975adbb54,MexK
PROT_000413,d57e6097debb,ArnT
PROT_000414,eddf90f9abba,MexF
PROT_000415,cf9d3da3a5ca,MexR
PROT_000416,36395b2d96e5,MexZ
PROT_000417,799649f4bcf4,APH(6)-Id
PROT_000418,0677543426f1,OXA-10
PROT_000419,658205902d85,MexI
PROT_000420,49586893ab43,mexY
PROT_000421,d0a42512e620,AAC(6')-Ib9
PROT_000422,c62d060e6a53,MexD
PROT_000423,68cfa76a6309,MexF
PROT_000424,5430d01e59e8,PDC-36
PROT_000425,bb0f1df716ce,APH(3')-IIb
PROT_000426,8ef43d0fb7b8,OpmH
PROT_000427,048add8d0c13,ArnT
PROT_000428,174afb4fcfc9,AAC(3)-IId
PROT_000429,e6d3912e55ff,MexZ
PROT_000430,efb8974b3c3c,nalD
PROT_000431,ef4eec58a2dd,MexK
PROT_000432,67aeb5a6950e,MexB
PROT_000433,76a605f204ed,basS
PROT_000434,718843b4eaaa,vanT gene in vanG cluster
PROT_000435,1db9394e8045,OpmD
PROT_000436,fbeaf2596fcf,MexH
PROT_000437,290c2da0bdcd,MexG
PROT_000438,0de6ef46e609,APH(3')-IIb
PROT_000439,00e8546a4055,PDC-66
PROT_000440,be4e518c45a8,MexF
PROT_000441,14f8d331ce9d,OprN
PROT_000442,9e65318654e1,cprR
PROT_000443,2a1e06c4c050,OXA-1029
PROT_000444,8670a21f6f1f,OprJ
PROT_000445,bff44490ff47,MexD
PROT_000446,1f3c8d7f6de9,MexC
PROT_000447,0115026f75c4,ArnT
PROT_000448,fcf89656c617,arnA
PROT_000449,bc4c115ea78e,MexW
PROT_000450,b42635385e89,MexV
PROT_000451,37c6b0005305,MexZ
PROT_000452,15a40cb4cb23,nalC
PROT_000453,61ac61bb193a,MexR
PROT_000454,323ddb86404a,MexS
PROT_000455,e5c07cc24d80,Type B NfxB
PROT_000456,bbbb3cda6f7e,MexH
PROT_000457,29e221eeccd1,MexI
PROT_000458,9be7f8395d71,OpmD
PROT_000459,c24c766b923c,basS
PROT_000460,11b7bab7d5d0,MexW
PROT_000461,613d8388af4c,PDC-266
PROT_000462,5ea4403aa4c0,ArnT
PROT_000463,9f32bf885e1b,APH(3'')-Ib
PROT_000464,a8ee2f1661e4,nalD
PROT_000465,cf5134d43463,MexC
PROT_000466,7c1a3ca89f78,ArnT
PROT_000467,fb80d054758f,arnA
PROT_000468,23166b9e408f,mexY
PROT_000469,b177962ae0bd,MexB
PROT_000470,49e44563d485,MexA
PROT_000471,b98ac7b050c6,PDC-374
PROT_000472,7cf195ad1a15,ArnT
PROT_000473,9b00e3c5fe56,OXA-1028
PROT_000474,3ce786898b88,MexV
PROT_000475,60c2a7ce9a3c,MexC
PROT_000476,cf8366e46e85,OXA-850
PROT_000477,33203756c14c,OpmD
PROT_000478,d47def725c42,MexC
PROT_000479,1aff3e875042,MexD
PROT_000480,7a443624af4d,arnA
PROT_000481,938693a480d1,MexA
PROT_000482,df7faea418ad,arnA
PROT_000483,c8faa5fe7e0e,MexW
PROT_000484,4214c1104579,mexY
PROT_000485,b168105cb515,FosA
PROT_000486,e5a2449d81fa,OXA-847
PROT_000487,05dd737240c9,MexH
PROT_000488,bf9fe37912ee,ArnT
PROT_000489,af9f569a37df,MexT
PROT_000490,cd2d1209a927,APH(3')-VIa
PROT_000491,c402b8901ee2,MexI
PROT_000492,27f525e9d5d4,FosA
PROT_000493,9381def23477,MexD
PROT_000494,d8d23f6cf714,OpmB
PROT_000495,f04fc72c2e6c,MexH
PROT_000496,fa84b2bacfde,OpmD
PROT_000497,523b30cc5470,MexK
PROT_000498,a97c09307d02,MexB
PROT_000499,be85e1ef8f2f,MexA
PROT_000500,b6270041f365,MexC
PROT_000501,55cfd162772a,MexE
PROT_000502,4cad27e15df8,OXA-1035
PROT_000503,cc1c33a2c830,ArnT
PROT_000504,cde1e7e66a97,AAC(6')-Ib10
PROT_000505,7bc70b3f3f19,MexG
PROT_000506,2bc7ae9234f2,MexH
PROT_000507,d4449bce34ab,MexI
PROT_000508,ead262f651e4,cprR
PROT_000509,87aec8f7d41f,MexE
PROT_000510,51b4f523f221,MexF
PROT_000511,9c37baa21e9a,OprN
PROT_000512,417ae8846dc8,OpmB
PROT_000513,849df153fb5b,MexK
PROT_000514,494305811dcf,MexJ
PROT_000515,021d61eba99f,OprM
PROT_000516,4045a224c3c2,MexB
PROT_000517,418ad5af4698,MexA
PROT_000518,d5b9e8207c0b,MexD
PROT_000519,f99042602a97,MexC
PROT_000520,225aed9ac343,OXA-1275
PROT_000521,5328ee9182bc,OpmH
PROT_000522,60e699938110,mexY
PROT_000523,ddd8ca8daca0,MexV
PROT_000524,da91c3565c8f,MexW
PROT_000525,b614feffa904,PDC-62
PROT_000526,46940b7b01a6,MexS
PROT_000527,75c278bed10a,MexR
PROT_000528,7c86f4525c6c,Type B NfxB
PROT_000529,fe9fa5218772,nalD
PROT_000530,d8dfe9dcc5e2,MexZ
PROT_000531,8fda96de6806,PDC-11
PROT_000532,f95f68025ae6,ANT(2'')-Ia
PROT_000533,da467bf23ed1,VIM-5
PROT_000534,b2d7143df82b,OXA-10
PROT_000535,4fd63a74b757,OXA-846
PROT_000536,5cff20b8abcb,APH(3')-VIa
PROT_000537,b523e6dd0f81,arnA
PROT_000538,c39e831d0e74,MexE
PROT_000539,c53fcdcefd7c,MexF
PROT_000540,fb20767cd6ac,MexZ
PROT_000541,6a13ae58984a,mexY
PROT_000542,e2044484068c,FosA
PROT_000543,d9c4b3adccd0,MexE
PROT_000544,b78761ec51a5,MexC
PROT_000545,05f14cd94c0a,OprJ
PROT_000546,a88ce6f9491b,MexI
PROT_000547,4db4d74bc378,MexH
PROT_000548,c61ddb97fbbe,arnA
PROT_000549,35fbc6632686,MexI
PROT_000550,33a5feb1c110,MexE
PROT_000551,e2f6c9eaf39c,OpmH
PROT_000552,e5a020628bb5,MexT
PROT_000553,3225658aff2c,OpmD
PROT_000554,5ff1576895ec,mexY
PROT_000555,05b79846875e,OprJ
PROT_000556,44ff0983beed,PDC-31
PROT_000557,be0fd4e1a56e,MexA
PROT_000558,0ada659900d6,OXA-851
PROT_000559,bb5c544b4edb,basS
PROT_000560,980011a0031b,vanT gene in vanG cluster
PROT_000561,cff90c84f79f,MexF
PROT_000562,12cfc06d4d80,MexA
PROT_000563,8b5339379355,basS
PROT_000564,1196991b122c,MexV
PROT_000565,5b5ed6aa419a,OprJ
PROT_000566,a2237a1ef825,MexE
PROT_000567,dfec376d2783,MexF
PROT_000568,913be47ed7b8,OprN
PROT_000569,cad14e8d0baf,OpmD
PROT_000570,c6f0451a7399,MexG
PROT_000571,d4d6aa67e697,APH(3')-IIb
PROT_000572,ad95b43c79a1,mexY
PROT_000573,312ce6ad84f4,MexA
PROT_000574,27c36fd380a6,ArnT
PROT_000575,0d46661d2b76,cprR
PROT_000576,ff6da11ed787,MexS
PROT_000577,cd657161748a,MexZ
PROT_000578,819482aec35a,mexY
PROT_000579,08a2a2a30988,PDC-120
PROT_000580,78668503046b,MexH
PROT_000581,7d506c16e497,OpmD
PROT_000582,54fb0bd0957b,ArnT
PROT_000583,f095f5763148,MexR
PROT_000584,f09daf1d431e,AAC(3)-Ic
PROT_000585,a014842ba3f3,OprN
PROT_000586,c588638645fa,ArnT
PROT_000587,4fb16c416169,nalD
PROT_000588,352e01d2ddca,nalC
PROT_000589,3912f866102f,FosA
PROT_000590,63b3f0f4a6db,ArnT
PROT_000591,3852e095e030,MexK
PROT_000592,d020a1040b61,MexD
PROT_000593,c9408e6360ad,MexT
PROT_000594,88095f7fdab1,MexB
PROT_000595,8b81b1bbb450,OprN
PROT_000596,2cad86cb0798,mexY
PROT_000597,de0fc1ac8de7,MexJ
PROT_000598,55d1d594f779,MexK
PROT_000599,52e361faf94f,MexH
PROT_000600,a0d6a780e6a7,Type B NfxB
PROT_000601,b87e3e367e13,OpmH
PROT_000602,a6ba3714ed1d,MexH
PROT_000603,386245cf4428,MexD
PROT_000604,23891b25e759,ArnT
PROT_000605,8d8017b3266d,arnA
PROT_000606,b6085f4ba4fb,OprN
PROT_000607,37ec2861e34f,mexY
PROT_000608,91fcbfa61633,PDC-5
PROT_000609,522d44d4db15,Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones
PROT_000610,dabf169fefbc,MexK
PROT_000611,61fe70f82950,MexC
PROT_000612,9f069c40d60e,MexD
PROT_000613,ed88cfd14f81,OprJ
PROT_000614,2ed3bd47c7d9,OpmD
PROT_000615,5f9e6ace6cb2,MexE
PROT_000616,30b43a8e12e8,MexV
PROT_000617,55d0548b2c12,mexY
PROT_000618,670811b45788,Type B NfxB
PROT_000619,de08cabdeaa7,MexS
PROT_000620,bafe6cce52f9,ArnT
PROT_000621,97007161f1cf,MexI
PROT_000622,14b8194aa267,MexC
PROT_000623,f7225b33f2d3,MexZ
PROT_000624,5e5b86e350c3,MexT
PROT_000625,180cfa056ba1,MexS
PROT_000626,e2c9675b172c,MexW
PROT_000627,17865a054ce5,MexS
PROT_000628,36d10dc616dd,Type B NfxB
PROT_000629,56d5324b53fe,mexY
PROT_000630,27b3e7dd52e9,Type B NfxB
PROT_000631,89f73d0594b1,nalD
PROT_000632,ff4c0bfcfd1c,OpmD
PROT_000633,0c58404c4441,ArnT
PROT_000634,eb4493e1540b,OprN
PROT_000635,96dcd7bddbb7,mexY
PROT_000636,b2f7057a6a65,MexK
PROT_000637,98db3b082815,MexH
PROT_000638,6fe86f6de6c5,MexD
PROT_000639,744e9b88df93,OXA-1127
PROT_000640,5555857da572,vanT gene in vanG cluster
PROT_000641,2de09c82e0cb,OprN
PROT_000642,0ff11671efcc,basS
PROT_000643,cbd81c9b8e94,ArnT
PROT_000644,5dfe2d04ca35,arnA
PROT_000645,beda19f6bbc9,PDC-109
PROT_000646,2c3cc0abff53,mexY
PROT_000647,b1021304a4ef,MexA
PROT_000648,181706123752,ArnT
PROT_000649,2bd8a5ab54a3,arnA
PROT_000650,bd9b87f14e7f,MexD
PROT_000651,e3e4dfa5df5a,MexE
PROT_000652,5ebd48b296e4,MexF
